size of the array,time of ArrayStack,time of LinkedListStack
1262,42.0,125.0
1263,41.0,83.0
1264,41.0,125.0
1265,41.0,125.0
1266,42.0,125.0
1267,42.0,125.0
1268,41.0,125.0
1269,42.0,83.0
1270,41.0,125.0
1271,42.0,125.0
1272,42.0,125.0
1273,41.0,125.0
1274,42.0,83.0
1275,42.0,125.0
1276,42.0,84.0
1277,42.0,125.0
1278,0.0,125.0
1279,42.0,125.0
1280,42.0,416.0
1281,41.0,125.0
1282,42.0,125.0
1283,41.0,125.0
1284,41.0,125.0
1285,41.0,125.0
1286,42.0,125.0
1287,0.0,125.0
1288,0.0,125.0
1289,42.0,83.0
1290,42.0,125.0
1291,42.0,125.0
1292,0.0,166.0
1293,42.0,125.0
1294,42.0,125.0
1295,0.0,125.0
1296,42.0,125.0
1297,42.0,125.0
1298,41.0,84.0
1299,42.0,125.0
1300,42.0,125.0
1301,42.0,125.0
1302,42.0,125.0
1303,41.0,84.0
1304,41.0,84.0
1305,42.0,83.0
1306,41.0,125.0
1307,41.0,167.0
1308,42.0,84.0
1309,42.0,83.0
1310,42.0,125.0
1311,42.0,84.0
1312,42.0,125.0
1313,42.0,125.0
1314,42.0,125.0
1315,42.0,125.0
1316,0.0,125.0
1317,42.0,125.0
1318,41.0,125.0
1319,41.0,125.0
1320,0.0,125.0
1321,42.0,125.0
1322,42.0,83.0
1323,41.0,83.0
1324,42.0,125.0
1325,41.0,125.0
1326,41.0,84.0
1327,42.0,125.0
1328,42.0,125.0
1329,42.0,125.0
1330,41.0,125.0
1331,42.0,83.0
1332,42.0,125.0
1333,42.0,125.0
1334,41.0,84.0
1335,42.0,125.0
1336,42.0,83.0
1337,42.0,125.0
1338,42.0,125.0
1339,42.0,125.0
1340,42.0,125.0
1341,41.0,125.0
1342,42.0,125.0
1343,41.0,84.0
1344,42.0,125.0
1345,42.0,125.0
1346,41.0,125.0
1347,42.0,125.0
1348,42.0,125.0
1349,42.0,125.0
